localidades2,DC_NOME,SG_ESTADO,CD_SITUACAO,VL_LATITUDE,VL_LONGITUDE,VL_ALTITUDE,DT_INICIO_OPERACAO,CD_ESTACAO,x_,y_,tipo_
ANGRA DOS,ANGRA DOS REIS,RJ,Operante,-22.97555554,-44.30333333,6,24/08/2017,A628,571409.545,7459016.760,auto
ARRAIAL D,ARRAIAL DO CABO,RJ,Operante,-22.97527777,-42.02138888,5,21/09/2006,A606,805404.484,7456116.417,auto
CAMBUCI_0,CAMBUCI,RJ,Pane,-21.58749999,-41.95833333,46,19/11/2002,A604,814971.906,7609751.871,auto
CAMPOS DOS GOYTACAZES,CAMPOS DOS GOYTACAZES,RJ,Operante,-21.71472222,-41.34388888,17,24/09/2006,A607,878324.749,7594278.583,auto
CAMPOS DOS GOYTACAZES - SAO TOME,CAMPOS DOS GOYTACAZES - SAO TOME,RJ,Operante,-22.04166666,-41.05166666,7,12/06/2008,A620,907664.500,7557284.032,auto
CARMO,CARMO,RJ,Operante,-21.9386111,-42.60083333,293,10/10/2018,A629,747803.012,7572028.758,auto
DUQUE DE ,DUQUE DE CAXIAS - XEREM,RJ,Pane,-22.58972221,-43.28222221,22,20/10/2002,A603,676586.805,7500879.655,auto
XEREM_01-,DUQUE DE CAXIAS - XEREM,RJ,Pane,-22.58972221,-43.28222221,22,20/10/2002,A603,676586.805,7500879.655,auto
MACAE_01-,MACAE,RJ,Operante,-22.3761111,-41.81194444,28,21/09/2006,A608,828320.129,7522062.140,auto
NITEROI,NITEROI,RJ,Operante,-22.86749999,-43.10194444,6,12/07/2018,A627,694730.002,7469894.103,auto
NOVA FRIB,NOVA FRIBURGO - SALINAS,RJ,Operante,-22.33472221,-42.67694443,1070,17/09/2010,A624,739267.908,7528279.242,auto
PARATY,PARATY,RJ,Operante,-23.2236111,-44.72694443,3,18/11/2006,A619,527936.918,7431699.952,auto
PICO DO COUTO,PICO DO COUTO,RJ,Operante,-22.46472222,-43.29138888,1777,21/10/2006,A610,675802.458,7514731.505,auto
PATY DO A,Paty do Alferes - Avelar,RJ,Operante,-22.34722221,-43.41777777,508,09/11/2022,A637,662932.574,7527884.072,auto
RESENDE_0,RESENDE,RJ,Operante,-22.45138888,-44.44499999,438.83,28/09/2006,A609,557105.139,7517103.613,auto
RIO CLARO,RIO CLARO,RJ,Operante,-22.653579,-44.040916,516,02/06/2016,A626,598540.679,7494510.429,auto
FORTE DE COPACABANA - RIO DE JANEIRO,RIO DE JANEIRO - FORTE DE COPACABANA,RJ,Operante,-22.98833333,-43.19055555,25.59,17/05/2007,A652,685472.137,7456627.697,auto
JACAREPAGUA - RIO DE JANEIRO,RIO DE JANEIRO - JACAREPAGUA,RJ,Operante,-22.93999999,-43.40277777,20,09/08/2017,A636,663772.899,7462232.305,auto
VILA MILITAR - RIO DE JANEIRO,RIO DE JANEIRO - VILA MILITAR,RJ,Operante,-22.86138888,-43.41138888,30.43,12/04/2007,A621,662983.731,7470946.343,auto
MARAMBAIA - RIO DE JANEIRO,RIO DE JANEIRO-MARAMBAIA,RJ,Operante,-23.05027777,-43.59555555,12,07/11/2002,A602,643886.310,7450223.918,auto
SANTA MARIA MADALENA,SANTA MARIA MADALENA,RJ,Operante,-21.95055555,-42.01027777,586,15/10/2018,A630,808810.187,7569632.216,auto
SAQUAREMA,SAQUAREMA - SAMPAIO CORREIA,RJ,Operante,-22.8711111,-42.60888888,26,01/09/2015,A667,745326.799,7468757.716,auto
SEROPEDIC,SEROPEDICA-ECOLOGIA AGRICOLA,RJ,Operante,-22.75777777,-43.68472221,35,23/05/2000,A601,635039.353,7482694.100,auto
SILVA JAR,SILVA JARDIM,RJ,Operante,-22.64583333,-42.41555555,19,27/08/2015,A659,765607.562,7493377.939,auto
TERESOPOL,TERESOPOLIS-PARQUE NACIONAL,RJ,Operante,-22.4486111,-42.98694444,981,31/10/2006,A618,707159.813,7516126.672,auto
TRES RIOS,TRES RIOS,RJ,Operante,-22.09833333,-43.20833333,295,07/06/2016,A625,684831.323,7555201.446,auto
VALENCA_0,VALENCA,RJ,Operante,-22.35805555,-43.69555555,370,26/09/2006,A611,634313.537,7526958.774,auto
ALTO DA BOA VISTA,ALTO DA BOA VISTA,RJ,Operante,-22.96583333,-43.27916666,347.1,31/05/1966,"83007",676416.558,7459228.560,conv
CAMPOS,CAMPOS,RJ,Operante,-21.74249999,-41.33277777,11.2,16/06/1911,"83698",879402.582,7591172.217,conv
CORDEIRO,CORDEIRO,RJ,Operante,-22.02222221,-42.36444444,505.9,15/07/1971,"83718",772071.308,7562365.853,conv
ITAPERUNA,ITAPERUNA,RJ,Operante,-21.20444444,-41.90555555,123.6,31/12/1921,"83695",821278.084,7652085.524,conv
ITATIAIA_,ITATIAIA,RJ,Pane,-22.325541632523834,-44.532508635571475,,,A635,548144.3,7531065,conv
RESENDE,RESENDE,RJ,Operante,-22.45111111,-44.44472221,439.9,21/05/1944,"83738",557133.835,7517134.255,conv
SANTA MARIA MADALENA_0,SANTA MARIA MADALENA,RJ,Operante,-21.96805554,-42.00305555,640,20/12/1921,"83696",809518.707,7567678.708,conv
SANTO ANTONIO PADUA,SANTO ANTONIO DE PADUA,RJ,Operante,-21.53694444,-42.16083333,95,31/03/1924,"83805",794091.565,7615748.955,conv
TERESOPOLIS_0,TERESOPOLIS,RJ,Operante,-22.41722221,-42.97222221,874.2,31/12/1912,"83744",708722.265,7519582.305,conv
